e_number;Samples_name;Sample_or_Control;Sample_type;Sampling_time;Cross_conditions;Washing;Medium
e4048518586;GEM132;True sample;Cultivated sponge;09. T5;G-EM_F+PB;G-EM;F+PB
e4048518587;GEM156;True sample;Cultivated sponge;10. T6;G-EM_F+PB;G-EM;F+PB
e4048518588;FRE_B039;True sample;In situ maternal sponge;02. T-2;NA;NA;NA
e4048518589;GEM183;True sample;Filtered freshwater;08. T4;NA ;NA ;NA
e4048518592;GEM151;True sample;Cultivated sponge;10. T6;G-EM_F+PB;G-EM;F+PB
e4048518593;GEM017;True sample;Cultivated sponge;05. T1;G+EM_F-PB;G+EM;F-PB
e4048518594;GEM041;True sample;Cultivated sponge;05. T1;G-EM_F+PB;G-EM;F+PB
e4048518595;GEM065;True sample;Cultivated sponge;06. T2;G-EM_F+PB;G-EM;F+PB
e4048518596;GEM089;True sample;Cultivated sponge;08. T4;G+EM_F-PB;G+EM;F-PB
e4048518597;GEM113;True sample;Cultivated sponge;09. T5;G+EM_F-PB;G+EM;F-PB
e4048518598;GEM137;True sample;Cultivated sponge;10. T6;G+EM_F-PB;G+EM;F-PB
e4048518599;GEM_EB1;Control;Extraction_blank;NA;NA;NA;NA
e4048518600;FRE_B040;True sample;In situ maternal sponge;02. T-2;NA;NA;NA
e4048518601;GEM184;True sample;Filtered freshwater;09. T5;NA ;NA ;NA
e4048518604;GEM152;True sample;Cultivated sponge;10. T6;G-EM_F+PB;G-EM;F+PB
e4048518605;GEM018;True sample;Cultivated sponge;05. T1;G+EM_F-PB;G+EM;F-PB
e4048518607;GEM066;True sample;Cultivated sponge;06. T2;G-EM_F+PB;G-EM;F+PB
e4048518608;GEM090;True sample;Cultivated sponge;08. T4;G+EM_F-PB;G+EM;F-PB
e4048518609;GEM114;True sample;Cultivated sponge;09. T5;G+EM_F-PB;G+EM;F-PB
e4048518610;GEM138;True sample;Cultivated sponge;10. T6;G+EM_F-PB;G+EM;F-PB
e4048518611;FRE_B013;True sample;In situ maternal sponge;01. T-3;NA;NA;NA
e4048518612;FRE_B061;True sample;In situ maternal sponge;03. T-1;NA;NA;NA
e4048518613;GEM_EB2;Control;Extraction_blank;NA;NA;NA;NA
e4048518617;GEM023;True sample;Cultivated sponge;06. T2;G+EM_F-PB;G+EM;F-PB
e4048518618;GEM047;True sample;Cultivated sponge;07. T3;G+EM_F-PB;G+EM;F-PB
e4048518619;GEM071;True sample;Cultivated sponge;07. T3;G-EM_F-PB;G-EM;F-PB
e4048518620;GEM095;True sample;Cultivated sponge;08. T4;G-EM_F-PB;G-EM;F-PB
e4048518621;GEM119;True sample;Cultivated sponge;09. T5;G-EM_F-PB;G-EM;F-PB
e4048518622;GEM143;True sample;Cultivated sponge;10. T6;G-EM_F-PB;G-EM;F-PB
e4048518623;FRE_B014;True sample;In situ maternal sponge;01. T-3;NA;NA;NA
e4048518624;FRE_B062;True sample;In situ maternal sponge;03. T-1;NA;NA;NA
e4048518627;GEM_NC;Control;Negative_control;NA;NA;NA;NA
